COUNTRY,MOU SIGNATORY,"MOU Signatory '?' or 'n'
child of a MOU parent ?
  - NO = not child
  - CHILD OF XXX",Organization,ROR Organization Name,ROR ID,IDENTIFY PARENT ROR or 'NEW',GBIF PUBLISHER NAME,GBIF PUBLISHER ID,ADDITIONAL GBIF PUBLISHER IDs,CHECKED,COMMENTS,totalRecords,preservedSpecimen,fossilSpecimen,unknown,livingSpecimen,materialSample,humanObservation,observation,machineObservation ,literature
Denmark,?,,"Danish Centre for Environment and Energy, Aarhus University",,,,"Danish Centre for Environment and Energy, Aarhus University",1a127d84-5508-4307-be4b-04e0b71eb113,,FALSE,,45872,0,0,0,0,0,45872,0,0,0
Denmark,Y,,Aarhus University,Aarhus Universitet,01aj84f44,,Herbarium of the University of Aarhus,8e1a97a0-3ca8-11d9-8439-b8a03c50a862,,TRUE,,111529,111529,0,0,0,0,0,0,0,0
Estonia,y,,Estonian Museum of Natural History,Estonian Academy of Sciences,01pewsd85,,PlutoF,0870a77b-587c-4369-a8ed-bc3d347b8e1c,,FALSE,,3253084,1378907,0,137879,0,6483,1322719,0,407096,0
Estonia,y,,Estonian University of Life Sciences,Estonian University of Life Sciences,00s67c790,,,,,FALSE,,,,,,,,,,,
Estonia,y,,Tallinn University of Technology,Tallinn University of Technology,0443cwa12,,Geocollections of Estonia,70488160-b003-11d8-a8af-b8a03c50a862,,FALSE,,185734,0,185734,0,0,0,0,0,0,0
Estonia,y,,University of Tartu,University of Tartu,03z77qz90,,,,,FALSE,,,,,,,,,,,
Finland,y,,Finnish Museum of Natural History - LUOMUS,Finnish Museum of Natural History,03tcx6c30,,Finnish Biodiversity Information Facility,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,,FALSE,,28247041,1019839,0,0,0,0,27227202,0,0,0
Finland,y,,"Biodiversity Unit, University of Oulu",University of Oulu,03yj89h83,,University of Oulu,d1146fd8-35d2-4264-a569-8f88cc29d0c8,,FALSE,,59630,59630,0,0,0,0,0,0,0,0
Finland,y,,"Biodiversity Unit, University of Turku",University of Turku,05vghhr25,,University of Turku,3ee55840-1f1d-11d8-a2da-b8a03c50a862,,FALSE,,20199,0,0,13054,0,0,0,6992,0,153
Finland,n,,"Digitarium, University of Eastern Finland",University of Eastern Finland,00cyydd11,,Digitarium,1eacbaf3-ce23-4cfb-98d5-a51a7a574562,,FALSE,,1197,1197,0,0,0,0,0,0,0,0
Finland,y,NO,Kuopio Natural History Museum,Kuopio natural history museum,,NEW,Kuopio Natural History Museum,7f65a925-b9ce-4c1c-9d9f-5d32c4e76ae1,,TRUE,,3637,3637,0,0,0,0,0,0,0,0
Finland,y,,"Open Science Centre / Museum, University of Jyväskylä",University of Jyväskylä,05n3dz165,,Jyväskylä University Museum - The Section of Natural Sciences,ff3a2000-b2ac-11db-b710-b8a03c50a862,,FALSE,,104129,102194,0,0,0,0,0,1935,0,0
France,y,,National Museum of Natural History,National Museum of Natural History,03wkt5x30,,MNHN - Museum national d'Histoire naturelle,2cd829bb-b713-433d-99cf-64bef11e5b3e,,FALSE,,945661,945661,0,0,0,0,0,0,0,0
France,n,,"UMS PatriNat (OFB-CNRS-MNHN), Paris",,,,"UMS PatriNat (OFB-CNRS-MNHN), Paris",1928bdf0-f5d2-11dc-8c12-b8a03c50a862,,FALSE,,658165,9,0,0,0,0,658156,0,0,0
