COUNTRY,MOU SIGNATORY,"MOU Signatory '?' or 'n'
child of a MOU parent ?
  - NO = not child
  - CHILD OF XXX",Organization,ROR Organization Name,ROR ID,IDENTIFY PARENT ROR or 'NEW',GBIF PUBLISHER NAME,GBIF PUBLISHER ID,ADDITIONAL GBIF PUBLISHER IDs,CHECKED,COMMENTS,totalRecords,preservedSpecimen,fossilSpecimen,unknown,livingSpecimen,materialSample,humanObservation,observation,machineObservation ,literature
Spain,y,CHILD of Spanish National Research Council (02gfc7t72),Instituto Geológico y Minero de España (IGME),Instituto Geológico y Minero de España,04cadha73,,,,,FALSE,,,,,,,,,,,
Spain,y,,The Universidad de Navarra (UNAV),University of Navarra,02rxc7m23,,University of Navarra – Department of Environmental Biology,2f390a80-56f3-11da-880b-b8a03c50a862,,FALSE,,395126,281397,0,202,0,0,113527,0,0,0
Spain,y,,Universidad Complutense de Madrid (UCM),Complutense University of Madrid,02p0gd045,,,,,FALSE,,,,,,,,,,,
Sweden,y,,Swedish Museum of Natural History,Swedish Museum of Natural History,05k323c76,,Swedish Museum of Natural History,6ba9a8cc-513a-4a51-bf93-6f5de8040a96,,TRUE,,409740,332821,73974,0,0,0,2945,0,0,0
Sweden,y,,Bergius Foundation,,,,,,,FALSE,,,,,,,,,,,
Sweden,y,,"Biological Museum, Lund University","Biological Museum, Lund University",048555y32,,"Two GBIF publishers, as listed below",,,TRUE,"Complicated situation as the museum is part of the Department of Biology, Lund University, but has been behaving independently for a long time. The GrSciColl registry has now been updated on GBIF:  https://www.gbif.org/grscicoll/institution/13edc77b-7023-4ddd-89c7-d883a480b294",449434,0,0,0,0,0,449434,0,0,0
Sweden,y,"child of Biological Museum, Lund University",Lund Botanical Museum (LD),,,,Lund Botanical Museum (LD),883ee5d0-9177-423d-a636-0284e8a4de46,,TRUE,Lund Botanical Museum and Lund Museum of Zoology were combined into the Biological Museum in 2002,1073352,1073352,0,0,0,0,0,0,0,0
Sweden,y,"child of Biological Museum, Lund University",Lund Museum of Zoology,,,,Lund Museum of Zoology (MZLU),ee6a779a-dce6-4f16-ae3d-84f495def86e,,TRUE,Lund Botanical Museum and Lund Museum of Zoology were combined into the Biological Museum in 2002,168838,168838,0,0,0,0,0,0,0,0
Sweden,y,,Gothenburg Botanic Garden,,035tz7392,,Gothenburg Botanical Garden (GBG),ea05dcbd-0d05-4785-9313-0ec68cb90426,,TRUE,,,,,,,,,,,
Sweden,y,,University of Gothenburg,University of Gothenburg,01tm6cn81,,University of Gothenburg,0ed04352-6745-4665-9e11-7117ee91a96b,,TRUE,,,,,,,,,,,
Sweden,y,,"Department of Ecology and Environmental Science, Umeå University",Umeå University,05kb8h459,,Umeå University,065e3c2a-35f3-44f6-9ae0-ee5d1f19eec5,,TRUE,,172421,0,0,0,0,0,172421,0,0,0
Sweden,y,,"Uppsala University, Museum of Evolution",Uppsala University,048a87296,,,,,FALSE,,,,,,,,,,,
Sweden,y,,Gothenburg Natural History Museum,Gothenburg Natural History Museum,01yhex183,,Gothenburg Natural History Museum (GNM),45e5c621-df96-4ea7-bbc6-aa3e53b90bb8,,FALSE,,102526,102526,0,0,0,0,0,0,0,0
United Kingdom,y,,Natural History Museum London,Natural History Museum,039zvsn29,,Natural History Museum,19456090-b49a-11d8-abeb-b8a03c50a862,,FALSE,,4191262,4191262,0,0,0,0,0,0,0,0
United Kingdom,y,,Royal Botanic Garden Edinburgh,Royal Botanic Garden Edinburgh,0349vqz63,,Royal Botanic Garden Edinburgh,98e934b0-5f31-11de-b67e-b8a03c50a862,,FALSE,,1009860,903681,0,0,106179,0,0,0,0,0
United Kingdom,y,,"Royal Botanic Gardens, Kew",Royal Botanic Gardens,00ynnr806,,"Royal Botanic Gardens, Kew",061b4f20-f241-11da-a328-b8a03c50a862,,FALSE,,1015334,1014976,0,0,0,0,0,358,0,0
United Kingdom,n,,National Museums Scotland,National Museums Scotland,00pxfwe85,,National Museums Scotland,7fd3bb3f-217b-467e-a1de-d15a04d0b874,,FALSE,,104,104,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76865134,25644425,874788,2937986,183562,277023,46348376,185187,413634,153
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,"instn codes in gbif and ROR, enter gbif instn code or change it in ROR",,,,,,,,,,,,,,,,,,
